Temp,Logg,Metal,Alpha,Kzz
3300,2.5,0.0,0.0,0.0
3300,3.0,0.0,0.0,0.0
3300,3.5,0.0,0.0,0.0
3300,4.0,0.0,0.0,0.0
3300,4.5,0.0,0.0,0.0
3300,5.0,0.0,0.0,0.0
3300,5.5,0.0,0.0,0.0
3300,6.0,0.0,0.0,0.0
3400,2.0,0.0,0.0,0.0
3400,2.5,0.0,0.0,0.0
3400,3.0,0.0,0.0,0.0
3400,3.5,0.0,0.0,0.0
3400,4.0,0.0,0.0,0.0
3400,4.5,0.0,0.0,0.0
3400,5.0,0.0,0.0,0.0
3400,5.5,0.0,0.0,0.0
3400,6.0,0.0,0.0,0.0
3500,2.0,0.0,0.0,0.0
3500,2.5,0.0,0.0,0.0
3500,3.0,0.0,0.0,0.0
3500,3.5,0.0,0.0,0.0
3500,4.0,0.0,0.0,0.0
3500,4.5,0.0,0.0,0.0
3500,5.0,0.0,0.0,0.0
3500,5.5,0.0,0.0,0.0
3500,6.0,0.0,0.0,0.0
3600,2.0,0.0,0.0,0.0
3600,2.5,0.0,0.0,0.0
3600,3.0,0.0,0.0,0.0
3600,3.5,0.0,0.0,0.0
3600,4.0,0.0,0.0,0.0
3600,4.5,0.0,0.0,0.0
3600,5.0,0.0,0.0,0.0
3600,5.5,0.0,0.0,0.0
3600,6.0,0.0,0.0,0.0
3700,2.0,0.0,0.0,0.0
3700,2.5,0.0,0.0,0.0
3700,3.0,0.0,0.0,0.0
3700,3.5,0.0,0.0,0.0
3700,4.0,0.0,0.0,0.0
3700,4.5,0.0,0.0,0.0
3700,5.0,0.0,0.0,0.0
3700,5.5,0.0,0.0,0.0
3700,6.0,0.0,0.0,0.0
3800,2.0,0.0,0.0,0.0
3800,2.5,0.0,0.0,0.0
3800,3.0,0.0,0.0,0.0
3800,3.5,0.0,0.0,0.0
3800,4.0,0.0,0.0,0.0
3800,4.5,0.0,0.0,0.0
3800,5.0,0.0,0.0,0.0
3800,5.5,0.0,0.0,0.0
3800,6.0,0.0,0.0,0.0
3900,2.0,0.0,0.0,0.0
3900,2.5,0.0,0.0,0.0
3900,3.0,0.0,0.0,0.0
3900,3.5,0.0,0.0,0.0
3900,4.0,0.0,0.0,0.0
3900,4.5,0.0,0.0,0.0
3900,5.0,0.0,0.0,0.0
3900,5.5,0.0,0.0,0.0
3900,6.0,0.0,0.0,0.0
4000,2.0,0.0,0.0,0.0
4000,2.5,0.0,0.0,0.0
4000,3.0,0.0,0.0,0.0
4000,3.5,0.0,0.0,0.0
4000,4.0,0.0,0.0,0.0
4000,4.5,0.0,0.0,0.0
4000,5.0,0.0,0.0,0.0
4000,5.5,0.0,0.0,0.0
4000,6.0,0.0,0.0,0.0
