Temp,Logg,Metal,Alpha,Files
2700.0,2.0,-0.0,0.0,aces2013_t2700_g2.00_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
2700.0,2.5,-0.0,0.0,aces2013_t2700_g2.50_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
2700.0,3.0,-0.0,0.0,aces2013_t2700_g3.00_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
2700.0,3.5,-0.0,0.0,aces2013_t2700_g3.50_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
2700.0,4.0,-0.0,0.0,aces2013_t2700_g4.00_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
2700.0,4.5,-0.0,0.0,aces2013_t2700_g4.50_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
2700.0,5.0,-0.0,0.0,aces2013_t2700_g5.00_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
2700.0,5.5,-0.0,0.0,aces2013_t2700_g5.50_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
2700.0,6.0,-0.0,0.0,aces2013_t2700_g6.00_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
2800.0,2.0,-0.0,0.0,aces2013_t2800_g2.00_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
2800.0,2.5,-0.0,0.0,aces2013_t2800_g2.50_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
2800.0,3.0,-0.0,0.0,aces2013_t2800_g3.00_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
2800.0,3.5,-0.0,0.0,aces2013_t2800_g3.50_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
2800.0,4.0,-0.0,0.0,aces2013_t2800_g4.00_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
2800.0,4.5,-0.0,0.0,aces2013_t2800_g4.50_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
2800.0,5.0,-0.0,0.0,aces2013_t2800_g5.00_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
2800.0,5.5,-0.0,0.0,aces2013_t2800_g5.50_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
2800.0,6.0,-0.0,0.0,aces2013_t2800_g6.00_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
2900.0,2.0,-0.0,0.0,aces2013_t2900_g2.00_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
2900.0,2.5,-0.0,0.0,aces2013_t2900_g2.50_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
2900.0,3.0,-0.0,0.0,aces2013_t2900_g3.00_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
2900.0,3.5,-0.0,0.0,aces2013_t2900_g3.50_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
2900.0,4.0,-0.0,0.0,aces2013_t2900_g4.00_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
2900.0,4.5,-0.0,0.0,aces2013_t2900_g4.50_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
2900.0,5.0,-0.0,0.0,aces2013_t2900_g5.00_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
2900.0,5.5,-0.0,0.0,aces2013_t2900_g5.50_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
2900.0,6.0,-0.0,0.0,aces2013_t2900_g6.00_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
3000.0,2.0,-0.0,0.0,aces2013_t3000_g2.00_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
3000.0,2.5,-0.0,0.0,aces2013_t3000_g2.50_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
3000.0,3.0,-0.0,0.0,aces2013_t3000_g3.00_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
3000.0,3.5,-0.0,0.0,aces2013_t3000_g3.50_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
3000.0,4.0,-0.0,0.0,aces2013_t3000_g4.00_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
3000.0,4.5,-0.0,0.0,aces2013_t3000_g4.50_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
3000.0,5.0,-0.0,0.0,aces2013_t3000_g5.00_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
3000.0,5.5,-0.0,0.0,aces2013_t3000_g5.50_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
3000.0,6.0,-0.0,0.0,aces2013_t3000_g6.00_z-0.00_en0.00_OSIRIS-Kbb-RAW.txt
